loc,mfa,amc,avg_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
25,0.666666667,11.5,1.0,False,False,0.06381459988301046,False,0.0,False,7.450580541412699e-09,Voting,Voting,False,0.058496716559426246
176,0.0,14.72727273,2.0,False,True,0.5443480726288902,False,0.3,False,0.2466060555964672,Voting,Voting,True,0.5239857332431493
262,0.993617021,63.75,1.0,True,True,0.9500213502066646,True,0.8,True,0.8999999999999999,Voting,Voting,True,0.9375195710227758
5,0.0,0.0,0.0,False,False,0.046444320093451175,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.042573960085663574
347,0.0,41.625,0.875,True,True,0.9274883887100824,True,0.8,True,0.8,Voting,Voting,True,0.9168643563175756
123,0.0,29.75,3.0,True,False,0.470828350983991,False,0.3,True,0.7,AdaBoost,Voting,False,0.4716678519504917
512,0.979035639,45.27272727,2.6364,True,True,0.9903193193212309,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.9910684196118499
57,0.0,55.0,0.0,False,True,0.9300960720327908,True,0.6,True,0.6516685208009172,Voting,Voting,True,0.9061910645594291
5,0.0,0.0,0.0,False,False,0.05328006029813925,False,0.0,False,0.10000000000000002,Voting,Voting,False,0.05279042592282273
75,0.0,14.0,2.2,False,False,0.08325808395123135,False,0.0,False,0.29999999999999993,Voting,Voting,False,0.08791681897175886
247,0.0,34.0,2.5714,True,False,0.4584487853657577,False,0.4,False,0.29999999999999993,Voting,Voting,False,0.41561369896804784
141,0.0,22.16666667,1.1667,True,False,0.14361569163983004,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.13685730615089686
210,0.0,33.0,1.1667,False,True,0.6605612676409831,True,0.7,True,0.500000002729697,Voting,Voting,True,0.662418889092676
630,0.0,205.6666667,0.6667,True,True,0.9999765687541292,True,0.8,True,0.9628626300262776,Voting,Voting,True,0.9905500638296921
50,0.666666667,24.0,1.5,False,False,0.08158967509530536,False,0.1,False,1.7628389884097995e-11,Voting,Voting,False,0.0824580866474136
155,0.0,24.5,1.1667,False,False,0.1643251047046719,False,0.3,False,0.2,Voting,Voting,False,0.17072863958586734
376,0.0,61.66666667,4.5,True,True,0.9781280599861896,True,0.9,True,0.9999999999999998,Voting,Voting,True,0.9660511960411986
3,0.0,0.0,1.0,False,False,0.05269192417735749,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.05020905864020452
515,0.998095238,254.5,1.0,True,True,0.9999912667243692,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.9999916784668927
34,0.0,16.0,0.5,False,False,0.08437641917085001,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.0803963993986401
155,0.0,24.5,1.1667,False,False,0.17386209218820212,False,0.3,False,0.2,Voting,Voting,False,0.18433203710538693
99,0.695652174,10.875,1.375,False,False,0.0940005832950666,False,0.0,False,0.2,Voting,Voting,False,0.08619676128566484
30,0.666666667,14.0,0.5,False,False,0.06779087995272562,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.06216203432488198
29,0.666666667,13.5,0.5,False,False,0.07355828069838742,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.06744963455042445
68,0.909090909,33.0,1.5,False,False,0.16901015563402647,False,0.5,False,0.5,Voting,Voting,False,0.19650100649498772
251,0.0,22.9,2.4,False,True,0.5485287944108923,False,0.4,True,0.7,RandomForest,Voting,True,0.5364282057288547
174,0.995735608,56.66666667,0.6667,True,False,0.4402676671076926,True,0.7,False,0.4000000000000001,RandomForest,Voting,False,0.4610462537390772
