wmc,cbo,rfc,ce,npm,loc,moa,amc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
28,32,82,7,24,926,0,31.64285714,True,True,0.8433246498521098,False,0.5,True,0.6000000000000001,RandomForest,RandomForest,False,0.5481874619404468
6,3,7,1,4,36,0,4.666666667,False,False,0.09022891671522308,False,0.5,False,0.44948974278317816,RandomForest,RandomForest,False,0.4981081792677096
4,5,6,4,2,21,1,4.0,False,False,0.10223123866617627,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.00037863421728213595
4,9,4,0,4,4,0,0.0,False,False,0.4207769552889577,True,0.8,False,0.5,RandomForest,RandomForest,True,0.7963732479825517
1,8,1,2,1,1,0,0.0,False,False,0.0905087093524954,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0003352174420462809
23,150,67,5,20,653,1,26.86956522,True,True,0.6239728768241611,False,0.3,False,0.179128784747792,Voting,RandomForest,False,0.3220762675621688
5,8,26,7,4,127,2,23.6,False,False,0.1378721243375653,False,0.3,False,0.179128784747792,RandomForest,RandomForest,False,0.2985041840512339
25,18,73,0,18,666,0,25.32,True,True,0.6212953628816539,False,0.1,False,0.2500000000000001,Voting,RandomForest,False,0.17296688726974502
7,2,13,1,7,86,0,10.42857143,False,False,0.0833623610329799,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0003087494853073346
21,7,22,2,21,141,2,5.2380952380000005,False,False,0.07726714123089216,False,0.2,False,0.3483314773547883,RandomForest,RandomForest,False,0.20064418554052027
2,2,4,1,2,11,0,4.5,False,False,0.08492454385012534,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.00031453534759305846
8,10,21,5,7,130,0,15.25,False,False,0.4458626732428925,False,0.0,False,0.3797958971132713,RandomForest,RandomForest,False,0.004464646175812723
32,16,81,0,27,504,0,14.34375,False,False,0.348994570306459,False,0.0,False,0.10000000000000002,RandomForest,RandomForest,False,0.0020333132233572556
13,4,44,2,9,208,0,14.84615385,False,False,0.16741272613417804,False,0.1,False,0.10000000000000002,RandomForest,RandomForest,False,0.10024967676345993
19,8,42,7,3,329,1,16.05263158,True,False,0.22556691004661145,False,0.3,False,0.28989794855663564,RandomForest,RandomForest,False,0.29964949187837
2,6,21,3,1,144,0,71.0,False,False,0.09033787151206206,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0003345847093039352
1,4,1,2,1,1,0,0.0,False,False,0.08674783282377614,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.00032128826971769103
25,10,58,4,23,257,1,9.08,False,False,0.17540912252881202,False,0.3,False,0.10000000000000002,RandomForest,RandomForest,False,0.2980570708241808
8,12,29,5,8,126,1,14.625,False,False,0.4676717284813805,False,0.3,False,7.450580541412699e-09,RandomForest,RandomForest,False,0.29839878423475014
5,26,11,2,5,41,1,6.8,False,False,0.11752920312673865,False,0.0,False,0.10000000000000002,RandomForest,RandomForest,False,0.0011760340856545879
3,7,8,0,3,34,0,10.33333333,False,False,0.09050222976358736,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0003351934435688437
4,6,10,5,1,27,1,5.5,False,False,0.12023714409235907,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0004453227558976278
5,6,6,1,5,32,1,5.0,False,False,0.08456616718846294,True,0.7,False,0.44948974278317816,RandomForest,RandomForest,True,0.6958649838990919
2,4,3,1,1,8,1,2.5,False,False,0.09314644015326784,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0003449868153824751
1,4,1,1,1,1,0,0.0,False,False,0.08588175182539104,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0003180805623162647
10,27,19,2,10,138,1,12.3,False,False,0.11372969386210426,False,0.4,False,0.29999999999999993,RandomForest,RandomForest,False,0.398198998866156
12,3,25,0,12,67,0,4.583333333,False,False,0.10204659666903823,False,0.2,False,4.967053706610929e-09,RandomForest,RandomForest,False,0.19815572817260427
5,14,21,3,5,75,0,13.8,False,False,0.12390532734195345,False,0.0,False,0.3483314773547883,RandomForest,RandomForest,False,0.0030391417853760376
54,17,137,0,16,1589,1,27.7962963,False,True,0.9873321075573336,True,0.7,True,0.5669697220176639,RandomForest,RandomForest,True,0.7167719379972823
5,4,9,3,5,61,0,10.2,False,False,0.08507494429309319,False,0.1,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.09920398127515961
37,26,120,26,24,1123,0,29.10810811,True,True,0.6311966549074975,True,0.7,False,0.44948974278317816,RandomForest,RandomForest,True,0.6652919997489865
10,9,15,6,8,67,1,5.3,False,False,0.1082622093245915,False,0.1,False,4.967053706610929e-09,RandomForest,RandomForest,False,0.09928986007132852
8,6,32,6,4,221,0,26.375,False,False,0.4806425771793295,False,0.1,False,0.2466060555964672,RandomForest,RandomForest,False,0.10249575810508248
2,4,5,2,1,19,1,8.0,False,False,0.09505808850063152,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.00035206699444678506
20,8,29,3,20,188,1,8.0,False,False,0.4224220063825897,False,0.4,False,0.28989794855663564,RandomForest,RandomForest,False,0.3992674737166514
3,3,4,1,2,16,0,4.0,False,False,0.08827777220174571,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.00032695471185831905
3,9,23,8,2,125,2,39.66666667,False,False,0.10700645268500956,False,0.1,False,0.10000000000000002,RandomForest,RandomForest,False,0.10002585406894839
8,32,104,29,3,955,2,118.0,True,True,0.5781757756312706,False,0.3,False,0.5,Voting,RandomForest,False,0.35090841951458557
8,16,52,0,5,336,1,40.625,False,True,0.5656299531655041,True,0.7,True,0.7,RandomForest,RandomForest,True,0.6995041695688764
7,5,20,4,5,110,0,14.0,False,False,0.10989140137630693,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.00040550332611183533
3,16,38,0,1,159,0,52.0,False,False,0.19129530580925885,False,0.1,False,0.10000000000000002,RandomForest,RandomForest,False,0.10033688304726665
5,6,24,0,5,88,0,16.2,False,False,0.1264132501155867,False,0.1,False,0.10000000000000002,RandomForest,RandomForest,False,0.1000974658675852
9,20,71,20,5,476,0,51.88888889,False,False,0.34058496414273104,False,0.1,False,0.29999999999999993,RandomForest,RandomForest,False,0.10236378215550823
16,27,123,23,2,1851,0,114.6875,False,True,0.6386202623009408,False,0.5,False,0.29999999999999993,RandomForest,RandomForest,False,0.4954022513667712
4,5,22,2,3,100,0,24.0,False,False,0.11955891878487213,False,0.1,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.09933416575197371
23,10,74,9,14,608,0,25.08695652,False,True,0.6633578946041075,True,0.8,True,0.6000000000000001,RandomForest,RandomForest,True,0.764817543844901
7,7,34,6,2,288,1,39.85714286,False,False,0.4940668529434574,False,0.4,True,0.6000000000000001,RandomForest,RandomForest,False,0.40182312491861055
10,10,38,0,9,207,0,19.3,False,False,0.16389938351783076,False,0.1,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.09949778370301783
3,4,19,3,3,57,0,17.66666667,False,False,0.10402286283639722,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.00038384820234833086
1,5,1,2,1,1,0,0.0,False,False,0.07842731700192045,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0002893996937340254
11,4,25,1,7,215,0,18.0,False,False,0.13676822008933595,False,0.1,False,0.10000000000000002,RandomForest,RandomForest,False,0.10013567608889055
4,2,6,1,3,23,1,4.5,False,False,0.08936445656484755,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0003297581423057121
11,2,15,0,11,95,0,7.272727272999999,False,False,0.08437796086290884,False,0.1,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.09920434671905133
18,23,83,5,15,638,0,34.33333333,False,True,0.7278432320827409,True,0.7,False,0.2,AdaBoost,RandomForest,True,0.6530936924536378
11,7,27,0,10,85,0,6.6363636360000005,False,False,0.13113109401440418,False,0.5,False,0.2,RandomForest,RandomForest,False,0.496424837985293
4,4,13,0,3,41,1,9.0,False,False,0.11131439932311922,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.000410754241044722
12,7,29,5,11,171,1,12.75,False,False,0.11198442711993267,False,0.1,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.09930621559822854
5,6,15,3,5,48,0,8.6,False,False,0.09458380407305106,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0003490177272068321
35,16,103,0,28,824,1,22.11428571,True,True,0.9524505183594666,True,0.7,True,0.7,RandomForest,RandomForest,True,0.7280500575954962
11,6,19,2,11,67,1,4.909090909,False,False,0.095162534850532,False,0.2,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.19813713112490972
74,40,190,30,72,1443,8,18.17567568,True,True,0.9545910351519319,False,0.5,False,0.29999999999999993,Voting,RandomForest,False,0.5305101150168813
9,19,39,13,5,178,1,18.55555556,True,False,0.16469232307376633,False,0.2,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.1983936986091283
13,28,37,6,6,172,1,12.0,False,True,0.5526357019893329,False,0.4,False,0.2,RandomForest,RandomForest,False,0.3990872166125068
5,3,13,2,5,48,0,8.4,False,False,0.08966322481443116,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0003308606081713343
4,11,17,3,2,77,1,18.0,False,False,0.12449183987623785,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.00045937948293814867
9,83,9,3,9,9,0,0.0,False,True,0.8368248332780067,False,0.4,False,0.5,RandomForest,RandomForest,False,0.4023499071338672
7,3,22,0,7,68,0,8.714285713999999,False,False,0.4473891727503972,False,0.1,False,0.10000000000000002,RandomForest,RandomForest,False,0.10128187886623764
15,9,40,7,12,286,1,17.86666667,False,False,0.14472636665355745,False,0.3,False,0.4000000000000001,RandomForest,RandomForest,False,0.30016504194337107
27,33,78,13,24,394,5,13.37037037,False,True,0.8954235083549018,False,0.2,False,0.4000000000000001,RandomForest,RandomForest,False,0.20404215316736127
31,97,31,16,31,33,0,0.0,False,False,0.4690557529746715,False,0.1,False,0.10000000000000002,RandomForest,RandomForest,False,0.10136182934677002
9,17,28,8,7,127,1,12.88888889,False,False,0.13057574293791308,False,0.4,False,0.10000000000000002,RandomForest,RandomForest,False,0.396791792409365
37,19,107,0,30,659,0,16.40540541,False,True,0.6206803557365742,False,0.3,False,0.2,RandomForest,RandomForest,False,0.3256311506373971
2,3,16,1,1,98,0,48.0,False,False,0.09030319741625782,False,0.0,False,3.301010655202172e-09,RandomForest,RandomForest,False,0.00022297088226985132
15,13,64,0,14,411,0,26.0,True,False,0.1332014604127152,False,0.3,False,0.16021833937153948,RandomForest,RandomForest,False,0.2985527320457465
2,30,65,29,2,412,3,203.5,False,False,0.4797609587211744,False,0.3,False,5.226159171925509e-06,RandomForest,RandomForest,False,0.2982216707091326
8,6,22,1,6,145,0,16.375,False,False,0.1099155892205348,False,0.0,False,2.309972554112805e-11,RandomForest,RandomForest,False,0.00027139651676502213
5,6,14,4,4,60,2,10.2,False,False,0.08688390207959314,False,0.0,False,0.10000000000000002,RandomForest,RandomForest,False,0.0009552688940236869
7,10,63,8,5,1034,0,146.71428569999995,False,True,0.5096565999969047,False,0.4,True,0.5701425129796401,RandomForest,RandomForest,False,0.4305478948321032
14,2,19,1,7,97,0,5.5,False,False,0.16709475964385812,False,0.0,False,0.2636732437954293,RandomForest,RandomForest,False,0.002365714792667027
20,4,30,2,18,183,0,7.95,False,False,0.11278277732307172,False,0.3,False,0.1858902206677232,RandomForest,RandomForest,False,0.298692477627966
5,13,30,10,3,149,1,28.6,False,False,0.12971680826078136,False,0.0,False,4.987266180011161e-14,RandomForest,RandomForest,False,0.00032028841545908885
13,14,35,4,13,204,2,14.53846154,False,False,0.0948171753336285,True,0.6,False,0.3941955344570373,RandomForest,RandomForest,True,0.5972281574782833
12,7,63,0,5,939,0,76.33333333,False,False,0.3766016229046993,False,0.2,False,0.3522016213199116,RandomForest,RandomForest,False,0.23692841933711262
2,2,18,1,2,99,0,47.5,False,False,0.07974111425088062,False,0.0,False,3.301010655202172e-09,RandomForest,RandomForest,False,0.00019689166457756194
5,7,26,6,3,158,0,30.2,False,False,0.12171159902664105,False,0.0,False,2.309972550176393e-11,RandomForest,RandomForest,False,0.0003005224669035561
6,27,6,2,6,6,0,0.0,False,False,0.09513978091663204,False,0.1,False,0.2302980783082727,RandomForest,RandomForest,False,0.10095317040948507
4,4,5,1,2,17,1,3.0,False,False,0.09300305839385313,False,0.1,False,2.764614332603342e-11,RandomForest,RandomForest,False,0.09924198286043652
11,7,12,2,11,74,1,5.272727273,False,False,0.07863810089025458,False,0.0,False,5.3097946031689615e-14,RandomForest,RandomForest,False,0.00019416815034670092
12,19,12,6,12,12,0,0.0,False,False,0.4292663551604588,True,0.6,True,0.999993944582216,Voting,RandomForest,True,0.6025413535528571
1,7,1,1,1,1,0,0.0,False,False,0.07908097790815467,False,0.0,False,3.7682363431682024e-14,RandomForest,RandomForest,False,0.00019526167384757462
6,21,6,5,6,6,0,0.0,False,False,0.4289895992762353,False,0.3,False,0.4662625814709029,RandomForest,RandomForest,False,0.30155006751528135
2,15,34,14,2,326,2,161.0,False,False,0.3655279699001269,False,0.1,False,0.18589022064652932,RandomForest,RandomForest,False,0.10129184847367831
